image,President,previous_office,name,term_start,term_end,state,party,Born,Died
https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/President_Woodrow_Wilson_portrait_December_2_1912.jpg/130px-President_Woodrow_Wilson_portrait_December_2_1912.jpg,28,Governor of New Jersey,Woodrow Wilson,"March 4, 1913","March 4, 1921",New Jersey,Democratic,"December 28, 1856","February 3, 1924"
https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Warren_G_Harding-Harris_%26_Ewing.jpg/165px-Warren_G_Harding-Harris_%26_Ewing.jpg,29,U.S. Senator,Warren G. Harding,"March 4, 1921","August 2, 1923",Ohio,Republican,"November 2, 1865","August 2, 1923"
https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/John_Calvin_Coolidge%2C_Bain_bw_photo_portrait.jpg/116px-John_Calvin_Coolidge%2C_Bain_bw_photo_portrait.jpg,30,Vice President,Calvin Coolidge,"August 2, 1923","March 4, 1929",Massachusetts,Republican,"July 4, 1872","January 5, 1933"
https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/HerbertHoover.jpg/140px-HerbertHoover.jpg,31,Secretary of Commerce,Herbert Hoover,"March 4, 1929","March 4, 1933",California,Republican,"August 10, 1874","October 20, 1964"
https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Franklin_D._Roosevelt_-_NARA_-_196715.jpg/112px-Franklin_D._Roosevelt_-_NARA_-_196715.jpg,32,Governor of New York,Franklin D. Roosevelt,"March 4, 1933","April 12, 1945",New York,Democratic,"January 30, 1882","April 12, 1945"
https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Harry_S._Truman.jpg/120px-Harry_S._Truman.jpg,33,Vice President,Harry S. Truman,"April 12, 1945","March 20, 1953",Missouri,Democratic,"May 8, 1884","December 26, 1972"
https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Dwight_D._Eisenhower%2C_White_House_photo_portrait%2C_February_1959.jpg/160px-Dwight_D._Eisenhower%2C_White_House_photo_portrait%2C_February_1959.jpg,34,Supreme Allied Commander Europe,Dwight D. Eisenhower,"January 20, 1953","January 20, 1961",New York,Republican,"October 14, 1890","March 28, 1969"
https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/John_Fitzgerald_Kennedy.png/125px-John_Fitzgerald_Kennedy.png,35,U.S. Senator,John F. Kennedy,"January 20, 1961","November 22, 1963",Massachusetts,Democratic,"May 29, 1917","November 22, 1963"
https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Lyndon_B._Johnson%2C_photo_portrait%2C_leaning_on_chair%2C_color.jpg/380px-Lyndon_B._Johnson%2C_photo_portrait%2C_leaning_on_chair%2C_color.jpg,36,Vice President,Lyndon B. Johnson,"November 22, 1963","January 20, 1969",Texas,Democratic,"August 27, 1908","January 22, 1973"
https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Richard_M._Nixon%2C_ca._1935_-_1982_-_NARA_-_530679.jpg/125px-Richard_M._Nixon%2C_ca._1935_-_1982_-_NARA_-_530679.jpg,37,Vice President,Richard Nixon,"January 20, 1969","August 9, 1974",California,Republican,"January 9, 1913","April 22, 1994"
https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Gerald_Ford.jpg/180px-Gerald_Ford.jpg,38,Vice President,Gerald Ford,"August 9, 1974","January 20, 1977",Michigan,Republican,"July 14, 1913","December 26, 2006"
https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/JimmyCarterPortrait.jpg/180px-JimmyCarterPortrait.jpg,39,Governor of Georgia,Jimmy Carter,"January 20, 1977","January 20, 1981",Georgia,Democratic,"October 1, 1924",
https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Official_Portrait_of_President_Reagan_1981.jpg/150px-Official_Portrait_of_President_Reagan_1981.jpg,40,Governor of California,Ronald Reagan,"January 20, 1981","January 20, 1989",California,Republican,"February 6, 1911","June 5, 2004"
https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/George_H._W._Bush%2C_President_of_the_United_States%2C_1989_official_portrait.jpg/200px-George_H._W._Bush%2C_President_of_the_United_States%2C_1989_official_portrait.jpg,41,Vice President,George H. W. Bush,"January 20, 1989","January 20, 1993",Texas,Republican,"June 12, 1924",
https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Bill_Clinton.jpg/110px-Bill_Clinton.jpg,42,Governor of Arkansas,Bill Clinton,"January 20, 1993","January 20, 2001",Arkansas,Democratic,"August 19, 1946",
https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/George-W-Bush.jpeg/110px-George-W-Bush.jpeg,43,Governor of Texas,George W. Bush,"January 20, 2001","January 20, 2009",Texas,Republican,"July 6, 1946",
https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/President_Barack_Obama.jpg/205px-President_Barack_Obama.jpg,44,U.S. Senator,Barack Obama,"January 20, 2009","January 20, 2017",Illinois,Democratic,"August 4, 1961",
https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Donald_Trump_official_portrait_%28cropped%29.jpg/165px-Donald_Trump_official_portrait_%28cropped%29.jpg,45,Businessman,Donald J. Trump,"January 20, 2017",,New York,Republican,"June 14, 1946",
